scaleFactor,minNeighbors,avgDistance
1.65,7,24.143611740659985
1.65,8,19.10436122614315
1.65,9,19.99255782726816
1.65,10,9.357562349260999
1.66,1,27.081412127273996
1.66,2,27.615651292586342
1.66,3,28.143826134070878
1.66,4,20.37884593177666
1.66,5,19.28013303853424
1.66,6,25.483410169593423
1.66,7,19.09274606452707
1.66,8,19.29927860813398
1.66,9,20.18747520925899
1.66,10,20.18747520925899
1.67,1,21.65878932633641
1.67,2,7.245266868431417
1.67,3,7.0441102795175565
1.67,4,7.774192997634148
1.67,5,8.355905681997303
1.67,6,8.355905681997303
1.67,7,8.355905681997303
1.67,8,7.8976294289674795
1.67,9,9.232713142677563
1.67,10,9.232713142677563
1.68,1,25.141537762616164
1.68,2,16.741771693408875
1.68,3,8.392832152907546
1.68,4,9.22212147478889
1.68,5,7.563214195545226
1.68,6,8.03910023410847
1.68,7,8.524183947818553
1.68,8,8.524183947818553
1.68,9,9.53230702350679
1.68,10,9.53230702350679
1.69,1,14.397441428082336
1.69,2,13.567823470720015
1.69,3,12.88646869311736
1.69,4,12.436306323095959
1.69,5,12.436306323095959
1.69,6,11.77788466238739
1.69,7,11.77788466238739
1.69,8,12.359092463103936
1.69,9,13.247289064228946
1.69,10,12.881628668437548
1.7,1,24.57167458413496
1.7,2,16.978110619619905
1.7,3,7.939949776757172
1.7,4,8.789949776757172
1.7,5,8.789949776757172
1.7,6,7.892735361525766
1.7,7,7.892735361525766
1.7,8,7.892735361525766
1.7,9,8.725329890917111
1.7,10,8.725329890917111
1.71,1,29.377304197993602
1.71,2,20.24591822108705
1.71,3,21.470959256790884
1.71,4,19.64782119271707
1.71,5,19.64782119271707
1.71,6,19.481630813748012
1.71,7,19.481630813748012
1.71,8,19.481630813748012
1.71,9,20.369827414873022
1.71,10,9.335410196624968
1.72,1,33.38033731888491
1.72,2,34.2389159626476
1.72,3,17.119737095522535
1.72,4,16.52443371321098
1.72,5,7.776184884771345
1.72,6,8.092353793812553
1.72,7,8.62699700434429
1.72,8,8.62699700434429
1.72,9,9.515193605469298
1.72,10,9.515193605469298
1.73,1,8.219650557089821
1.73,2,9.507050459156034
1.73,3,7.999849949462512
1.73,4,7.999849949462512
1.73,5,7.238614112265952
1.73,6,7.91295245846766
1.73,7,17.904923667050678
1.73,8,17.904923667050678
1.73,9,18.793120268175688
1.73,10,19.493120268175687
1.74,1,13.743865837940481
1.74,2,11.860054018070754
1.74,3,11.860054018070754
1.74,4,11.943757285660372
1.74,5,11.992636699202453
1.74,6,11.992636699202453
1.74,7,11.992636699202453
1.74,8,11.992636699202453
1.74,9,12.296665377007269
1.74,10,12.296665377007269
1.75,1,22.90007060620954
1.75,2,19.19580575890071
1.75,3,7.273936078431244
1.75,4,7.273936078431244
1.75,5,7.974400839185516
1.75,6,7.974400839185516
1.75,7,7.795305717760487
1.75,8,8.433502318885498
1.75,9,9.321698920010508
1.75,10,9.321698920010508
1.76,1,25.006039611045388
1.76,2,19.121717677731453
1.76,3,18.363603794723037
1.76,4,18.363603794723037
1.76,5,18.363603794723037
1.76,6,18.363603794723037
1.76,7,7.6982028209115665
1.76,8,7.6982028209115665
1.76,9,8.90044382214703
1.76,10,19.79021139294496
1.77,1,18.217515702756184
1.77,2,19.37565599590662
1.77,3,20.213852597031625
1.77,4,20.213852597031625
1.77,5,20.018400692913577
1.77,6,8.964233764134837
1.77,7,8.964233764134837
1.77,8,8.294012155793535
1.77,9,8.660249114490192
1.77,10,8.660249114490192
1.78,1,21.604737465765133
1.78,2,24.101454449587084
1.78,3,23.242605431409167
1.78,4,22.715661845320888
1.78,5,22.715661845320888
1.78,6,22.715661845320888
